"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.712781266481075E9,"2024-04-10 17:34:26.481 UTC-03:00"
"PAUSE",1.379192050000711E1,1.712781280272916E9,"2024-04-10 17:34:40.273 UTC-03:00"
